time,text
13:30:00,"Operation 27, begins at 12:45 pm. and is completed at 1: 30 pm.—Stanley J. Farlow, Gary Haggard—http://bit.ly/1fSvFfj—#twitterfiction"
13:31:00,at 1:31 pm. the magistrates decided to stop the meeting and gave orders for the arrest—S.Maconie—http://bit.ly/1eEsV5b—#twitterfiction
13:32:00,The first alarm reached the fire department at 1:32 PM. Engines thundered to the building.—Erik Larson—http://bit.ly/1i3tBnS—#twitterfiction
13:33:00,by the tirne John F. Kennedy's death was announced to the world at 1:33 PM—Norman Mailer—http://bit.ly/1gLuexd—#twitterfiction
13:34:00,At 1:34 pm. Zahn spies a large passenger liner of 6000 to 8000 tons about 2000—Bercuson&Herwig—http://bit.ly/1cumsp2—#twitterfiction
13:35:00,The lull in the incoming ended at 1:35 pm. when a single mortar round hit Ripcord.—K.Nolan—http://bit.ly/1hRgBgE—#twitterfiction
13:36:00,Three and a half hours after Lewinsky left the White House at 1:36 pm.—Sally Bedell Smith—http://bit.ly/NIm6F4—#twitterfiction
13:37:00,"1:37 the raid was over,the once beautiful Fort S and Clark Field were littered with shrapnel —E.Norman—http://bit.ly/1i3sMf3—#twitterfiction"
13:38:00,"at 1:38 pm., the second wave of eight choppers dropped in with more troops. —Moore&Galloway—http://bit.ly/NhCUCQ—#twitterfiction"
13:39:00,"it was now 1:39 p.m., which was 23 minutes after the stop—Mark Haddon—http://bit.ly/1gLtqse—#twitterfiction"
13:40:00,Emergency Medical Services were called at 1:40 pm..—Kathy Magliato—http://bit.ly/1fAKyhO—#twitterfiction
13:41:00,"Seconds later, the tank farm erupted in a blast of burning fuel. It was 1:41 pm—M.Wright—http://bit.ly/MEQOOH—#twitterfiction"
13:42:00,Could not have left island due to blocked bridge. The last note was recorded at 1:42 pm.—Stieg Larsson—http://bit.ly/1lrUoe3—#twitterfiction
13:43:00,"Celia stared at Leanne's name on the screen, wondered what josie had been doing at 1:43—M.Goldberg—http://bit.ly/1hQxcS0—#twitterfiction"
13:44:00,Emergency Medical Services arrived at 1:44. They found Russert in ventricular fibrillation—K.Magliato—http://bit.ly/1jJHYv4—#twitterfiction
13:45:00,Conduct interview. 1:45PM Write evaluation of candidate. Hand 2 admissions secretary—Princeton Review—http://bit.ly/1i3l9oN—#twitterfiction
13:46:00,"1:46 PM KK's gone to Maddie's cell. I told her not to, saying he'll just want to be alone—Peter Stenson—http://bit.ly/NiABzs—#twitterfiction"
13:47:00,"At 1:47 pm. (EDT), the Eagle separated from the Columbia. “Okay, Eagle,” ike said.—B.Aldrin&K.Abraham—http://bit.ly/1fzhJYZ—#twitterfiction"
13:48:00,1:48 pm West Coast time. Japanese Airlines Flight 824 taking off from LAX was struck port-side—Slater—http://bit.ly/1ofsLlA—#twitterfiction
13:49:00,1:49 pm. The Germans had spread themselves across 215th Street and Broadway—Leo Rutman—http://bit.ly/1i3wKUO—#twitterfiction
13:50:00,When she returned from lunch at 1:50 pm she found a line of waiting customers—Joseph Wambaugh—http://bit.ly/1d8V03G—#twitterfiction
13:51:00,"Paul Recer transmitted wire story at 1:51 eastern time saying, “A meteorite fell to Earth...""—K. Sawyer—http://bit.ly/Niv6ku—#twitterfiction"
13:52:00,"Miss Judith Clyde, advised our friend that the most convenient train left Waindell at 1:52 pm—Nabokov—http://bit.ly/1jJIc5y—#twitterfiction"
13:53:00,My notes end with this scribble: “1:53 pm. Order to stay in CA [Canadian] area.” —Graeme Smith—http://bit.ly/1kF4u8c—#twitterfiction
13:54:00,"At 1:54, Suffren began turning in an arc 2 starboard, leading her three sisters out of action —R.Massie—http://bit.ly/NIl7Vt—#twitterfiction"
13:55:00,1:55pm Bahr informs Admiral Uboats about previous day's action...1 destroyer crippled—Bercuson&Herwig—http://bit.ly/1cjP6P2—#twitterfiction
13:56:00,We arrived at the scene at 1:56pm located to the for north-east corner of the village—N.Parkes—http://bit.ly/1fSuTyY—#twitterfiction
13:57:00,"To add to the confusion, the PAX telephone system failed at 1:57 impossible to place calls —P.Faulkner—http://bit.ly/1dORd8w—#twitterfiction"
13:58:00,1:58 PM Fine. leave a couple more pages in the cabinet at live this afternoon.—@jeremyblachman—http://bit.ly/1hRaCbQ—#twitterfiction
13:59:00,tubes into his chest...They raced off to St. Vincent's Hospital and arrived there at 1:59pm—J.Dwyer—http://bit.ly/OP6yR6—#twitterfiction
14:00:00,"From 10:00 A.M. to 2:00 pm is Pitta time, a transformation time.—Deepak Chopra—http://bit.ly/1hvwN9j—#twitterfiction"
14:01:00,"At 2:01 pm, the door at the northwest end swung open and Hood, Armstrong and Pavelich skated onto ice http://bit.ly/1pMkKIo—#twitterfiction"
14:02:00,"At 2:02pm, after 40 mins on the machine, Patty was disconnected. Her own heart took over —G.Miller—http://bit.ly/1hwaKiG—#twitterfiction"
14:03:00,"2:03 pm SATURDAY, OCT 27 McNamara was increasingly troubled by the lack of information. —Michael Dobbs—http://bit.ly/1hQZfAN—#twitterfiction"
14:04:00,2:04pm his heart sank into his socks. The pilot's eyes bugged as he watched the plane —C.Cothern—http://bit.ly/1cjCqI9—#twitterfiction
14:05:00,9:05 PM here meant 2:05 PM in Antwerp. So much was happening. His entire future determined—Steve Berry—http://bit.ly/1kG3K2A—#twitterfiction
14:06:00,"2:06pm, when the bomb went off, Mooney and his wife had been watching from the roof —M&S Harries—http://bit.ly/OOgc6C—#twitterfiction"
14:07:00,2:07pm. “How's your sister?” Dennis asks. “Not great.” I decide to take a risk. —Michelle Richmond—http://bit.ly/1eEN1ME—#twitterfiction
14:08:00,"The twelfth, 2:08 pm. Maybe you got it on Fri But the message came in on Thurs afternoon—Melanie Wells—http://bit.ly/1fRPEe1—#twitterfiction"
14:09:00,"At 2:09 pm Eastern time, these exit polls were flashed to subscribing television outlets—Jules Witcover—http://bit.ly/NHDYA1—#twitterfiction"
14:10:00,"he stays with the class until 2:10 pm, when he goes to PE. with a different class—L.Dobson—http://bit.ly/1ogcFbh—#twitterfiction"
14:11:00,"2 days before the 1st anthrax letters were postmarked, he was in library from 2:11 to 2:25—D.Willman—http://bit.ly/1cuq3mV—#twitterfiction"
14:12:00,And again at 2:12pm “Dived at approach of 2 aircraft (land based) at 070°...”—Bercuson&Herwig—http://bit.ly/1hB6IFh—#twitterfiction
14:13:00," At 2:13 pm that day, they were in a Kmart store at Georgia and Connecticut Avenues—S.Horwitz&Ruane—http://bit.ly/1pNolGg—#twitterfiction"
14:14:00,2:14 PM.  My foot didn't let up from the gas until I was back in the gridlocked traffic—Marisha Pessl—http://bit.ly/MGQnTR—#twitterfiction
14:15:00,2:15 pm. Irena takes daily stroll along terrace with Abbé. (What do they talk about?) —Thomas Wharton—http://bit.ly/1dd5sqF—#twitterfiction
14:16:00,2:16 pm Return to work by circuitous route (must remember map next time) to avoid Count—Thomas Wharton—http://bit.ly/1bWDjpn—#twitterfiction
14:17:00,You put the pan of brownies in the oven at 2:17 P.M. on a Saturday aftemoon—Susie Norris—http://bit.ly/1g3cqfp—#twitterfiction
14:18:00,"At 2:18 pm. the third ship in the first column, Fort Pascoyac, is torpedoed. —Bercuson&Herwig—http://bit.ly/1bWJObO—#twitterfiction"
14:19:00,2:19 pm: I can't imagine anything more boring than emailing the Non-Boyfriend all day—Arianne Cohen—http://bit.ly/1fSpVC9—#twitterfiction
14:20:00,"""Address on East-West Relations at the Brandenburg Gate June 12, 1987"" 2:20pm—Martin&Annelise Anderson—http://bit.ly/1i2YusB—#twitterfiction"
14:21:00,OP-20-G sent CINCPAC a dispatch at 2:21pm informing Nimitz of the Tokuyama refueling of Yamato—J.Prados—http://bit.ly/NHNaUR—#twitterfiction
14:22:00,Darrow started at 2:22 pm and continued without stop until the judge recessed for the evening. —H.Blum—http://bit.ly/NiqhYo—#twitterfiction
14:23:00,At 2:23 p.m. the IRS spies had a little setback—David Burnham—http://bit.ly/1eIbaBW—#twitterfiction
14:24:00,"Finally an aide arrives with a wheelchair, and at 2:24 pm. Terence is admitted to Rhoads 3—A.Bennett—http://bit.ly/1cuNCvT—#twitterfiction"
14:25:00,It is 2:25. He hears the echo of the asdic and sees the contact on the trace recorder—Bercuson&Herwig—http://bit.ly/1d9wAqN—#twitterfiction
14:26:00,The ice on the Tanana buckled at 2:26pm. Eleven individuals had picked the right moment.—E.acques Kahn—http://bit.ly/1g1scYe—#twitterfiction
14:27:00,2:27 pm: Message from my first love on Facebook...ended with him being sent to prison—Arianne Cohen—http://bit.ly/1cuHDaB—#twitterfiction
14:28:00,"At 2:28 pm., St. Vincent reported that she was picking up strong, nearby wireless signals—R.Massie—http://bit.ly/1hvzI1G—#twitterfiction"
14:29:00,"I saw a giant clock, the hr frozen at 2:29, the 2nd hand poised, spear-like, over the belly of the 6—J—http://bit.ly/MEVW5t—#twitterfiction"
14:30:00,he himself told you to come and see him at 2:30 you have to take life as it comes so ...—Georges Perec—http://bit.ly/1fz63zD—#twitterfiction
14:31:00,"Last rites were administered and at 2:31, the announcement was made: president had been assassinated—http://bit.ly/1dOfeN0—#twitterfiction"
14:32:00,"arguments continued from the previous day, and these were concluded at 2:32 PM. —Fred W. Friendly—http://bit.ly/1oi3Qhf—#twitterfiction"
14:33:00,"2:33 pm., Bill Ryan read an AP flash...priests...seen the president saying that he was dead—D.Brinkley—http://bit.ly/1i4YI2t—#twitterfiction"
14:34:00,"2:34 pm.: After some quick gossip with the girls from the typing pool, it's back to work. —M.Rosenberg—http://bit.ly/1og2fbE—#twitterfiction"
14:35:00,"Instant message between Brian Hunter and unnamed trader on April 2006, beginning at 2:35 pm—B.Dreyfuss—http://bit.ly/1pMotpx—#twitterfiction"
14:36:00,And at 2:36 pm...the shattering official news the president of the United States was dead. —D.Brinkley—http://bit.ly/1fzllKJ—#twitterfiction
14:37:00,I therefore give a timetable of my movements from 10 o'clock this morning up to 2:37. Right?” —R.Stout—http://bit.ly/1hRe7z9—#twitterfiction
14:38:00,Sent: Tue 2:38 PM ...let me respond with the first thought that comes to mind: fuck you —L.Schreiber—http://bit.ly/1dO3hqw—#twitterfiction
14:39:00,"Before I grabbed the oxygen mask ...I pulled out my notebook and recorded: ""2:39 pm—Graham&Nussbaum—http://bit.ly/1mUW7XH—#twitterfiction"
14:40:00,"I looked at my watch—it was 2:40. Buck, standing at the exit door, was watching our movement—G.Schroen—http://bit.ly/1pNpjSR—#twitterfiction"
14:41:00,"2:41 pm. His putter blazing now, Dave Stockton sinks a fifteen-footer—Dick Schaap—http://bit.ly/1i3uzki—#twitterfiction"
14:42:00,Sent: Monday 2:42 PM I have been waiting for my anger to subside before writing you—Lee Schreiber—http://bit.ly/1mNBkIW—#twitterfiction
14:43:00,"At 2:43, Chief Justice Rehnquist entered judgment in favor of ""William Jefferson Clinton"" —K.Gormley—http://bit.ly/OOo6ga—#twitterfiction"
14:44:00,"It was 2:44 pm, Friday afternoon, and she hoped it wasn't anything important. —Karen Kingsbury—http://bit.ly/1jJorLk—#twitterfiction"
14:45:00,"2:45 pm I decide to take a tour of the office. I visit Bernie Diamond, my general counsel—Trump&McIver—http://bit.ly/1hR5oN7—#twitterfiction"
14:46:00,"... the 2:46 pm. earthquake, the tsunami wave surged six miles up the river. —Gretel Ehrlich—http://bit.ly/1ofFYef—#twitterfiction"
14:47:00,"looked at her wrist, at the bulky digital watch that told her it was 2:47 P.M—Kay Hooper—http://bit.ly/1ohMDEK—#twitterfiction"
14:48:00,The medevac was completed at 2:48 pm L informed R and W that they were to be extracted.—Keith Nolan—http://bit.ly/1pMbiov—#twitterfiction
14:49:00,"She was born 30 July 1818 at 2:49 pm, also in Thornton, Yorkshire: the chart is given below. —D.Ovason—http://bit.ly/1kFBRI2—#twitterfiction"
14:50:00,"this signal was not sent to W and B until 2:50, by which time Hipper was far away north.—R.Massie—http://bit.ly/1fzebGn—#twitterfiction"
14:51:00,At 2:51 the highly volatile liquid thrown by a buffing machine hit the worn wires of a machine—Woulfe—http://bit.ly/1gJGcY0—#twitterfiction
14:52:00,"2:52 pm., Nov. 13 Bangkok BY THE TIME THE CAB HAD DROPPED US OFF IN FRONT OF our hotel—Stoeker&Smith—http://bit.ly/1hQifiG—#twitterfiction"
14:53:00,2:53 pm.: “100° Destroyer....”—Bercuson&Herwig—http://bit.ly/1hvBVKy—#twitterfiction
14:54:00,"DECEMBER 21, 2:54 pm My mother looks over the melting, flaming landscape that surrounds us. —Palahniuk—http://bit.ly/1mNKFjQ—#twitterfiction"
14:55:00,At 2:55 the 120 men and officers of Bravo Company began marching overland from the artillery base—Moore—http://bit.ly/OOc5aA—#twitterfiction
14:56:00,At 2:56 he passes along additional vital information: visibility is low at 5 to 8 nautical miles—b&h—http://bit.ly/1g1WoCD—#twitterfiction
14:57:00,It was 2:57 pm. Then I drew a deep breath and quickly took stock. —Dan Fesperman—http://bit.ly/1hvhsp1—#twitterfiction
14:58:00,"At 2:58, city police officer S Courrege became suspicious of a beat-up blue Caprice—Horwitz&Ruane—http://bit.ly/1jJI45R—#twitterfiction"
14:59:00,2:59 pm. Boss texts me to make sure I call him after I watch One Life To Live...—Mark Rosenberg—http://bit.ly/1hR749B—#twitterfiction
15:00:00,"The chief nurse told McCabe to go home, get some sleep, and be back on duty at 3:00 pm—Monahan&Greenlee—http://bit.ly/NIkHhU—#twitterfiction"
15:01:00,"3:01 p.m. PST WELL, TO GIVE THE OSP CREDIT, the statement's not half bad.—Lisa Gardner—http://bit.ly/NKxsbF—#twitterfiction"
15:02:00,Asdic rolls off U305's hull again at 3:02 pm.—Bercuson&Herwig—http://bit.ly/1d8TluN—#twitterfiction
15:03:00,"Between 2:20 and 3:03 pm., St Croix makes three depth-charge attacks without results.—Bercuson&Herwig—http://bit.ly/1jJFNHW—#twitterfiction"
15:04:00,3:04 Just had a bit of an argument with Sam. He's constantly on all his friend's Facebook pages—ACohen—http://bit.ly/1fzjeGO—#twitterfiction
15:05:00,3:05. Subject proceeded via elevator to 7th floor where she removed & secreted on her person —Harrison—http://bit.ly/1i35Ex2—#twitterfiction
15:06:00,"at 3:06, the doors from the runway swung open, and no one in the terminal remembered the delay—Adelson—http://bit.ly/1hQ5YLd—#twitterfiction"
15:07:00,3:07 P.M....Floyd Calbert popped the back of his coworker's head—Nancy Moser—http://bit.ly/1jKLCFa—#twitterfiction
15:08:00,"at 3:08 pm, on Thursday, June 23, Lloyd Stryker stood up and said, “Mr. Alger Hiss.”—Sam Tanenhaus—http://bit.ly/1hw7NP1—#twitterfiction"
15:09:00,"On October 21, at 3:09 P.M., Betty Currie faxed Lewinsky's resume—Michael Isikoff— http://bit.ly/1hUdDIy—#twitterfiction"
15:10:00,Could I call back in two days? Yes. 3:10. I see graduate student C standing in the laboratory—W.Hirsch—http://bit.ly/1jJHK7c—#twitterfiction
15:11:00,"At 1511 (3:11 pm civilian time), Golf Company and elements of Company E were moving forward—J.Kirschke—http://bit.ly/NijHkx—#twitterfiction"
